Year,Players,Runs,Venue,Against,Opponents
2009,P Kumar-A Nehra-I Sharma-R A Jadeja-Harbhajan Singh-Yuvraj Singh-V Sehwag-S R Tendulkar-V Kohli-M S Dhoni-S K Raina,-24,Home,AUS,S R Watson-S E Marsh-R T Ponting-C L White-M E K Hussey-M C Henriques-M G Johnson-G A Manou-N M Hauritz-P M Siddle-D E Bollinger
2015,B Kumar-M M Sharma-Harbhajan Singh-A Mishra-A R Patel-S K Raina-R G Sharma-S Dhawan-V Kohli-M S Dhoni-A M Rahane,-18,Home,SA,Q de Kock-D A Miller-H M Amla-F du Plessis-A B de Villiers-J-P Duminy-F Behardien-D W Steyn-K Rabada-Imran Tahir-M Morkel
2009,P Kumar-A Nehra-I Sharma-Harbhajan Singh-R A Jadeja-S K Raina-V Sehwag-S R Tendulkar-G Gambhir-V Kohli-M S Dhoni,-4,Home,AUS,S R Watson-T D Paine-R T Ponting-C L White-M E K Hussey-A C Voges-J R Hopes-M G Johnson-B Lee-N M Hauritz-P M Siddle
2011,A M Rahane-G Gambhir-V Kohli-M K Tiwary-S K Raina-M S Dhoni-R A Jadeja-R Ashwin-P Kumar-R Vinay Kumar-V R Aaron,95,Home,ENG,T T Bresnan-S T Finn-S C Meaker-S R Patel-G P Swann-R S Bopara-C Kieswetter-A N Cook-I J L Trott-I R Bell-J M Bairstow
2008,V Sehwag-S R Tendulkar-G Gambhir-Yuvraj Singh-M S Dhoni-Y K Pathan-S K Raina-Harbhajan Singh-Zaheer Khan-I Sharma-M M Patel,19,Home,ENG,J M Anderson-S C J Broad-A Flintoff-S R Patel-G P Swann-K P Pietersen-R S Bopara-I R Bell-O A Shah-P D Collingwood-M J Prior
2007,Zaheer Khan-S Sreesanth-I K Pathan-Harbhajan Singh-M Kartik-Yuvraj Singh-S R Tendulkar-S C Ganguly-R Dravid-M S Dhoni-R V Uthappa,-18,Home,AUS,A C Gilchrist-M J Clarke-R T Ponting-B J Hodge-A Symonds-B J Haddin-J R Hopes-B Lee-M G Johnson-G B Hogg-N W Bracken
2014,A M Rahane-S Dhawan-S K Raina-V Kohli-A T Rayudu-W P Saha-A R Patel-R Ashwin-U T Yadav-V R Aaron-I Sharma,169,Home,SL,K T G Prasad-P L S Gamage-A D Mathews-N L T Perera-S Randiv-S Prasanna-T M Dilshan-S M A Priyanjan-W U Tharanga-K C Sangakkara-D P M Jayawardene
2009,P Kumar-A Nehra-M M Patel-R A Jadeja-Harbhajan Singh-Yuvraj Singh-V Sehwag-S R Tendulkar-G Gambhir-M S Dhoni-S K Raina,-3,Home,AUS,S R Watson-S E Marsh-R T Ponting-C L White-M E K Hussey-A C Voges-G A Manou-N M Hauritz-D E Bollinger-B W Hilfenhaus-C J McKay
2009,V Sehwag-S R Tendulkar-K K D Karthik-M S Dhoni-V Kohli-S K Raina-Y K Pathan-R A Jadeja-P Kumar-A Nehra-S Sreesanth,1,Home,SA,D W Steyn-W D Parnell-C K Langeveldt-J A Morkel-J Botha-J H Kallis-L L Bosman-H H Gibbs-A B de Villiers-A N Petersen-M V Boucher
2011,G Gambhir-V Sehwag-S K Raina-R A Jadeja-R G Sharma-V Kohli-P A Patel-R Ashwin-R Vinay Kumar-A Mithun-R Sharma,153,Home,WI,K A J Roach-R Rampaul-A D Russell-S P Narine-D J G Sammy-K A Pollard-M N Samuels-L M P Simmons-K O A Powell-D P Hyatt-D Ramdin
2007,P Kumar-S Sreesanth-I K Pathan-M Kartik-V Sehwag-Yuvraj Singh-G Gambhir-S R Tendulkar-R V Uthappa-R G Sharma-M S Dhoni,-31,Home,PAK,Salman Butt-Imran Nazir-Yasir Hameed-Mohammad Yousuf-Shoaib Malik-Misbah-ul-Haq-Fawad Alam-Sohail Tanvir-Sarfraz Ahmed-Umar Gul-Iftikhar Anjum
2009,V Sehwag-S R Tendulkar-M S Dhoni-S K Raina-G Gambhir-Harbhajan Singh-V Kohli-R A Jadeja-P Kumar-Zaheer Khan-A Nehra,3,Home,SL,K M D Kulasekara-U W M Welegedara-C R D Fernando-A D Mathews-S T Jayasuriya-S H T Kandamby-T M Dilshan-W U Tharanga-K C Sangakkara-D P M Jayawardene-T T Samaraweera
