Name,AdaptTest,AdaptODI,AdaptT20
B J Hodge,0.166666666666667,0.166666666666667,0
B Geeves,0.166666666666667,0.166666666666667,0
B Lee,1,0.833333333333333,0.833333333333333
C L White,0.166666666666667,0.166666666666667,0
C R Brathwaite,0.166666666666667,0.166666666666667,0
C K Kapugedera,0,0,0
C Ganapathy,0,0,0
C K Langeveldt,0.333333333333333,0.166666666666667,0.166666666666667
C Nanda,0,0,0
C A Lynn,0,0,0
C H Gayle,0.666666666666667,0.5,0.5
C H Morris,0.333333333333333,0.333333333333333,0
C J Jordan,0.333333333333333,0.333333333333333,0
C J McKay,0.333333333333333,0.166666666666667,0.166666666666667
C A Ingram,0,0,0
C Munro,0,0,0
C R D Fernando,0.666666666666667,0.5,0.5
C J Anderson,0.333333333333333,0.333333333333333,0
D W Steyn,0.833333333333333,0.833333333333333,0.666666666666667
D J Harris,0,0,0
D L Vettori,1,1,1
D T Christian,0.333333333333333,0.333333333333333,0
D J G Sammy,0.833333333333333,0.666666666666667,0.5
D S Lehmann,0,0,0
D A Miller,0,0,0
D A Warner,0,0,0
D J Jacobs,0,0,0
D J Hussey,0.333333333333333,0.333333333333333,0
D Wiese,0.333333333333333,0.333333333333333,0
D Hooda,0,0,0
D L Chahar,0,0,0
D N T Zoysa,0.166666666666667,0.166666666666667,0.333333333333333
D P M Jayawardene,0,0,0
D B R Teja,0,0,0
D S Kulkarni,0,0,0
D d Preez,0,0,0
D Salunkhe,0,0,0
D P Nannes,0.333333333333333,0.333333333333333,0
D Kalyankrishna,0,0,0
D J Thornely,0,0,0
D J Muthuswami,0,0,0
D A J Bracewell,0.333333333333333,0.5,0.166666666666667
D E Bollinger,0.333333333333333,0.166666666666667,0.166666666666667
D J J Bravo,0.833333333333333,0.666666666666667,0.5
D R Smith,0.333333333333333,0.166666666666667,0.166666666666667
F Y Fazal,0,0,0
F Behardien,0.166666666666667,0.166666666666667,0
F H Edwards,0.5,0.5,0.333333333333333
F du Plessis,0,0,0
G H Vihari,0,0,0
G S Toor,0,0,0
G B Hogg,0.666666666666667,0.333333333333333,0.333333333333333
G J Bailey,0,0,0
G D McGrath,0.666666666666667,0.666666666666667,1
G J Maxwell,0.5,0.333333333333333,0.166666666666667
G C Smith,0,0,0
G R Napier,0,0,0
G S Sandhu,0,0,0
G S Mann,0,0,0
Harbhajan Singh,1,1,1
H H Pandya,0.333333333333333,0.333333333333333,0
H S Baddhan,0,0,0
H S Bansal,0,0,0
H S Bhatia,0,0,0
H V Patel,0,0,0
H M Amla,0,0,0
H K S R Kaluhalamulla,0.166666666666667,0.166666666666667,0
I K Pathan,0.666666666666667,0.5,0.5
I Malhotra,0,0,0
I R Jaggi,0,0,0
I Sharma,0.5,0.666666666666667,0.5
I C Pandey,0,0,0
I H Chaudhary,0,0,0
J D P Oram,0.833333333333333,0.666666666666667,0.5
J H Kallis,0.833333333333333,0.666666666666667,0.833333333333333
J Suchith,0,0,0
J Anand,0,0,0
J S Saxena,0,0,0
J S Mohammad,0,0,0
J D S Neesham,0.166666666666667,0.166666666666667,0
J E C Franklin,0.5,0.5,0.333333333333333
J P Faulkner,0.5,0.333333333333333,0.166666666666667
J R Hopes,0.5,0.333333333333333,0.166666666666667
J Salman Butta,0,0,0
J O Holder,0.166666666666667,0.166666666666667,0
J J Bumrah,0.333333333333333,0.333333333333333,0
J Yadav,0,0,0
J D Unadkat,0,0,0
J P Duminy,0.5,0.333333333333333,0.166666666666667
J E Taylor,0.5,0.5,0.333333333333333
J D Ryder,0.166666666666667,0.166666666666667,0
J Sharma,0.166666666666667,0.166666666666667,0
J Botha,0.666666666666667,0.5,0.166666666666667
J A Morkel,0.666666666666667,0.5,0.166666666666667
J J v d Wath,0.166666666666667,0.166666666666667,0
J W Hastings,0.166666666666667,0.166666666666667,0
J Theron,0.166666666666667,0.166666666666667,0
J M Kemp,0,0,0
K Khan,0,0,0
K S Williamson,0.166666666666667,0.166666666666667,0
K W Richardson,0.166666666666667,0.166666666666667,0
K Goel,0,0,0
K Singh,0,0,0
K V Sharma,0.166666666666667,0.166666666666667,0
K K Nair,0,0,0
K A Singh,0,0,0
K M Jadhav,0,0,0
K A J Roach,0.5,0.5,0.333333333333333
K P Pietersen,0.166666666666667,0.166666666666667,0
K K Cooper,0,0,0
K A Razzak,0.833333333333333,0.5,0.333333333333333
K A Pollard,0.5,0.333333333333333,0.166666666666667
K B A Karthik,0,0,0
K C Cariappa,0,0,0
K P Appanna,0,0,0
K K D Karthik,0,0,0
K Santokie,0.333333333333333,0.333333333333333,0
K R Upadhyay,0,0,0
K H Pandya,0,0,0
K M D Kulasekara,0.833333333333333,0.5,0.333333333333333
K Yadav,0,0,0
K J Abbott,0.333333333333333,0.333333333333333,0
L Balaji,0.166666666666667,0.166666666666667,0
L R Shukla,0,0,0
L A Carseldine,0,0,0
L M P Simmons,0.166666666666667,0.166666666666667,0
L P C Silva,0.166666666666667,0.166666666666667,0
L Ablash,0,0,0
L J Wright,0.333333333333333,0.333333333333333,0
L R Taylor,0,0,0
M T T Mirando,0.166666666666667,0.166666666666667,0
M S Dhoni,0,0,0
M Ntini,0.666666666666667,0.666666666666667,0.666666666666667
M Singh,0,0,0
M K Pandey,0,0,0
M K Tiwary,0,0,0
M S Gony,0,0,0
M d Lange,0.166666666666667,0.166666666666667,0
M P Stoinis,0,0,0
M N Samuels,0.666666666666667,0.5,0.5
M J Guptill,0,0,0
M B Mortaza,0.833333333333333,0.666666666666667,0.5
M A Agarwal,0,0,0
M E K Hussey,0,0,0
M G Neser,0,0,0
M J Buchanan,0,0,0
M J Clarke,0.333333333333333,0.166666666666667,0.166666666666667
M J Lumb,0,0,0
M A Starc,0.5,0.5,0.333333333333333
M G Johnson,0.833333333333333,0.833333333333333,0.666666666666667
M J McClenaghan,0.666666666666667,0.5,0.166666666666667
M R Marsh,0.166666666666667,0.166666666666667,0
M Manhas,0,0,0
M F Maharoof,0.333333333333333,0.166666666666667,0.166666666666667
M Ashraful,0.166666666666667,0.166666666666667,0
M Asif,0.333333333333333,0.5,0.166666666666667
Mohammad Hafeez,0.833333333333333,0.666666666666667,0.5
Imran Tahir,0.666666666666667,0.666666666666667,0.333333333333333
M M Rahman,0.333333333333333,0.333333333333333,0
M Y Khan,0.166666666666667,0.166666666666667,0
Mohammed Shami,0.333333333333333,0.166666666666667,0.166666666666667
M Sharma,0.166666666666667,0.166666666666667,0
M B Parmar,0,0,0
M C Henriques,0.166666666666667,0.166666666666667,0
M Morkel,0.5,0.833333333333333,0.333333333333333
M M Patel,0.333333333333333,0.166666666666667,0.166666666666667
M Kartik,0.166666666666667,0,0.166666666666667
M Vijay,0,0,0
M Ashwin,0,0,0
M A Khote,0,0,0
M Muralitharan,0.833333333333333,0.833333333333333,1
N L T Perera,0.666666666666667,0.5,0.166666666666667
N J Rimmington,0,0,0
N L McCullum,0.666666666666667,0.5,0.166666666666667
N M Coulter.Nile,0.333333333333333,0.333333333333333,0
N D Doshi,0,0,0
N K Patel,0,0,0
N Rana,0,0,0
O A Shah,0,0,0
P Prasanth,0,0,0
P D Vijaykumar,0,0,0
P Amarnath,0,0,0
P Singh,0,0,0
P Sahu,0,0,0
P R Zarghav,0,0,0
P Awana,0,0,0
P M S Kumar,0,0,0
P J Cummins,0.333333333333333,0.333333333333333,0
P C Valthaty,0,0,0
P D Collingwood,0.666666666666667,0.333333333333333,0.333333333333333
P Negi,0.166666666666667,0.166666666666667,0
P Suyal,0,0,0
P P Chawla,0.166666666666667,0.166666666666667,0
P Sangwan,0,0,0
P P Ojha,0.166666666666667,0.333333333333333,0.166666666666667
P Parameswaran,0,0,0
P Kumar,0.333333333333333,0.166666666666667,0.166666666666667
P V Tambe,0,0,0
R A Shaikh,0,0,0
R A Shukla,0,0,0
R Sharma,0.166666666666667,0.166666666666667,0
R Tewatia,0,0,0
R V Gomez,0,0,0
R Sathish,0,0,0
R Bhatia,0,0,0
R K Bishnoi,0,0,0
R V Pawar,0,0,0
R R Bhatkal,0,0,0
R R Powar,0,0,0
R R Sarwan,0.166666666666667,0.166666666666667,0
R S Gopal,0,0,0
R R Bose,0,0,0
R Vinay Kumar,0.166666666666667,0.166666666666667,0
R Ashwin,0.833333333333333,0.666666666666667,0.5
R S Bopara,0.5,0.333333333333333,0.166666666666667
R Rampaul,0.666666666666667,0.5,0.166666666666667
R A Jadeja,0.833333333333333,0.666666666666667,0.5
R W Price,0.666666666666667,0.5,0.5
R S Sodhi,0,0,0
R T Ponting,0,0,0
R Dhawan,0,0,0
R J Quiney,0,0,0
R J Peterson,0.5,0.333333333333333,0.166666666666667
R V Uthappa,0,0,0
R E van der Merwe,0.333333333333333,0.333333333333333,0
R R Raje,0,0,0
R S Gavaskar,0,0,0
R G Sharma,0.166666666666667,0.166666666666667,0
R G More,0,0,0
R P Singh,0.333333333333333,0.166666666666667,0.166666666666667
R H Bhatt,0,0,0
R J Harris,0.166666666666667,0.333333333333333,0.166666666666667
R McLaren,0.5,0.333333333333333,0.166666666666667
R N t Doeschate,0.166666666666667,0.166666666666667,0
R Ninan,0,0,0
S Baby,0,0,0
S R Tendulkar,0.5,0.333333333333333,0.5
S Rana,0,0,0
Shahid Afridi,1,0.5,0.5
Salman Butt,0,0,0
S Badree,0.5,0.5,0
S T Jayasuriya,0.833333333333333,0.5,0.666666666666667
S Sharma,0.166666666666667,0.166666666666667,0
S B Bangar,0,0,0
S V Samson,0,0,0
S S Ladda,0,0,0
S S Bandekar,0,0,0
S I Abdulla,0,0,0
S B Styris,0.666666666666667,0.333333333333333,0.333333333333333
S M Boland,0,0,0
S A Abbott,0.166666666666667,0.166666666666667,0
S M S Senanayake,0.5,0.333333333333333,0.166666666666667
S L Malinga,0.833333333333333,0.666666666666667,0.5
S B Jakati,0,0,0
S Nadeem,0,0,0
S A Hasan,0.833333333333333,0.666666666666667,0.5
S J Srivastava,0,0,0
S E Bond,0.5,0.333333333333333,0.166666666666667
S K Warne,0.5,0.5,1
S M Harwood,0.166666666666667,0.166666666666667,0
S R Watson,0.833333333333333,0.666666666666667,0.5
S Sreesanth,0.5,0.5,0.333333333333333
S N Thakur,0,0,0
S E Marsh,0,0,0
S M Pollock,0.833333333333333,0.666666666666667,0.833333333333333
S W Tait,0.333333333333333,0.333333333333333,0
S Dhawan,0,0,0
S Sharma,0,0,0
S Kaushik,0,0,0
Shoaib Akhtar,0.666666666666667,0.5,0.5
Shoaib Malik,0.666666666666667,0.333333333333333,0.333333333333333
S S Shaikh,0,0,0
S B Wagh,0,0,0
S S Mundhe,0,0,0
S D Chitnis,0,0,0
S Kaul,0,0,0
S K Trivedi,0,0,0
S M Katich,0,0,0
S Tanvir,0.666666666666667,0.5,0.166666666666667
S C Ganguly,0.166666666666667,0,0.166666666666667
S S Sarkar,0,0,0
S Aravind,0.166666666666667,0.166666666666667,0
S Sriram,0,0,0
S P D Smith,0.333333333333333,0.333333333333333,0
S T R Binny,0.166666666666667,0.166666666666667,0
S Badrinath,0,0,0
S Tyagi,0,0,0
S Narwal,0,0,0
S B Joshi,0.166666666666667,0,0.166666666666667
S P Narine,0.666666666666667,0.5,0.166666666666667
S S Gupta,0,0,0
S K Raina,0.5,0.333333333333333,0.166666666666667
S A Yadav,0,0,0
S K Singh,0,0,0
S M S Ahmed,0,0,0
T Shamsi,0,0,0
T P Sudhindra,0,0,0
T M Srivastava,0,0,0
T Mishra,0.166666666666667,0.166666666666667,0
T Kohli,0,0,0
T Taibu,0,0,0
T M Dilshan,0.666666666666667,0.333333333333333,0.333333333333333
T K Patel,0,0,0
T G Southee,0.833333333333333,0.666666666666667,0.5
T L Suman,0,0,0
T M Head,0,0,0
T A Boult,0.333333333333333,0.5,0.166666666666667
T Henderson,0,0,0
U A Birla,0,0,0
Umar Gul,0.833333333333333,0.666666666666667,0.5
U T Yadav,0.333333333333333,0.166666666666667,0.166666666666667
V R Aaron,0,0,0
V P Singh,0,0,0
V Sivaramakrishnan,0,0,0
V Shankar,0,0,0
V Y Mahesh,0,0,0
V R Singh,0,0,0
V Malik,0,0,0
V S Yeligati,0,0,0
V Kohli,0.166666666666667,0.166666666666667,0
V Sehwag,0.166666666666667,0,0.166666666666667
V D Solanki,0,0,0
W P U Vaas,0.666666666666667,0.5,0.833333333333333
W D Parnell,0.666666666666667,0.5,0.166666666666667
W A Mota,0,0,0
Y G Rao,0,0,0
Y V Rao,0,0,0
Y Nagar,0,0,0
Y A Abdulla,0.166666666666667,0.166666666666667,0
Y K Pathan,0.333333333333333,0.333333333333333,0
Yuvraj Singh,0.666666666666667,0.333333333333333,0.333333333333333
Y S Chahal,0,0,0
Zaheer Khan,0.666666666666667,0.666666666666667,0.666666666666667
A S Chopra,0,0,0
A Kumar,0,0,0
A B de Villiers,0,0,0
A P Tare,0,0,0
A B Barath,0,0,0
A T Rayudu,0,0,0
A G Paunikar,0,0,0
A Singh,0,0,0
A Srikkanth,0,0,0
A P Majumdar,0,0,0
A N Ghosh,0,0,0
A S Yadav,0,0,0
A A Bilakhia,0,0,0
B J Haddin,0,0,0
B B McCullum,0,0,0
C J Ferguson,0,0,0
C Madan,0,0,0
C A Pujara,0,0,0
C M Gautam,0,0,0
D R Martyn,0,0,0
D B Das,0,0,0
D T Patil,0,0,0
D H Yagnik,0,0,0
E R Dwivedi,0,0,0
E J G Morgan,0,0,0
G Gambhir,0,0,0
H M Das,0,0,0
H H Gibbs,0,0,0
I P Kishan,0,0,0
J Arunkumar,0,0,0
J C Buttler,0,0,0
J L Langer,0,0,0
K Akmal,0,0,0
K L Rahul,0,0,0
K H Devdhar,0,0,0
K C Sangakkara,0,0,0
L Sharma,0,0,0
L A Pomersbach,0,0,0
L Ronchi,0,0,0
M Rawat,0,0,0
M Vohra,0,0,0
M C Juneja,0,0,0
M Bisla,0,0,0
M V Boucher,0,0,0
M D K J Perera,0,0,0
M L Hayden,0,0,0
M S Wade,0,0,0
M Klinger,0,0,0
M K Niazi,0,0,0
M Kaif,0,0,0
M D Mishra,0,0,0
M N v Wyk,0,0,0
N V Ojha,0,0,0
N M Coulter Nile,0,0,0
N J Maddinson,0,0,0
N S Naik,0,0,0
N Saini,0,0,0
P V Manikantan,0,0,0
P Dharmani,0,0,0
P Dogra,0,0,0
P A Patel,0,0,0
P S P Handscomb,0,0,0
P R Shah,0,0,0
P A Reddy,0,0,0
Q d Kock,0,0,0
R M Yadav,0,0,0
R S Dravid,0,0,0
R E Levi,0,0,0
R R Rossouw,0,0,0
R R Panth,0,0,0
S W Billings,0,0,0
S N Khan,0,0,0
S Kanwar,0,0,0
S S Tiwary,0,0,0
S Chanderpaul,0,0,0
S P Goswami,0,0,0
S S Iyer,0,0,0
S P Fleming,0,0,0
S Singh,0,0,0
S Sohal,0,0,0
S A Asnodkar,0,0,0
T D Paine,0,0,0
T R Birt,0,0,0
U Kaul,0,0,0
U Chand,0,0,0
U T Khawaja,0,0,0
V V S Laxman,0,0,0
V H Zol,0,0,0
W Jaffer,0,0,0
W P Saha,0,0,0
X T Sargunam,0,0,0
Y V Takawale,0,0,0
