Name,Matches,Innings,Not_Outs,Runs,High_Score,Average,No_Of_100,No_Of_50,Strike_Rate,Catches_Taken,Stumpings
Nathan Mitchell Coulter-Nile,14,9,4,60,16,12,0,0,67.41,4,NA
Owais Alam Shah,71,66,6,1834,107,30.56,1,12,78.67,21,NA
Pankaj Dharmani,1,1,0,8,8,8,0,0,100,0,NA
Pankaj Singh,1,1,1,3,3,NA,0,0,100,1,NA
Parthiv Ajaybhai Patel,38,34,3,736,95,23.74,0,4,76.5,30,9
Parvez Rasool Zarghav,1,0,NA,NA,NA,NA,NA,NA,NA,0,NA
Patrick James Cummins,18,7,4,34,11,11.33,0,0,54.83,5,NA
Paul David Collingwood,197,181,37,5092,120,35.36,5,26,76.98,108,NA
Piyush Pramod Chawla,25,12,5,38,13,5.42,0,0,65.51,9,NA
Pragyan Prayish Ojha,18,10,8,46,16,23,0,0,41.07,7,NA
Praveenkumar Sakat Singh,68,33,12,292,54,13.9,0,1,88.21,11,NA
Quinton de Kock,59,59,3,2367,138,42.26,10,5,91.49,82,3
Rahul Sharad Dravid,340,314,39,10768,153,39.15,12,82,71.18,196,14
Rahul Sharma,4,1,0,1,1,1,0,0,50,1,NA
Ramesh Rajaram Powar,31,19,5,163,54,11.64,0,1,62.69,3,NA
Ramnaresh Ronnie Sarwan,181,169,33,5804,120,42.67,5,38,75.72,45,NA
Ranganath Vinay Kumar,31,13,4,86,27,9.55,0,0,58.9,6,NA
Ravichandran Ashwin,102,58,18,658,65,16.45,0,1,86.57,30,NA
Ravinder Singh Bopara,120,109,21,2695,101,30.62,1,14,77.84,35,NA
Ravindranath Rampaul,92,40,11,362,86,12.48,0,1,76.69,14,NA
Ravindrasinh Anirudhsinh Jadeja,126,87,30,1849,87,32.43,0,10,84.89,43,NA
Raymond William Price,102,59,17,406,46,9.66,0,0,57.91,17,NA
Reetinder Singh Sodhi,18,14,3,280,67,25.45,0,2,73.49,9,NA
Ricky Thomas Ponting,374,364,39,13589,164,41.81,29,82,80.19,159,NA
Rilee Roscoe Rossouw,31,30,2,928,132,33.14,2,5,92.52,22,NA
Rishi Dhawan,3,2,1,12,9,12,0,0,92.3,0,NA
Robin John Peterson,79,41,14,556,68,20.59,0,1,80.81,28,NA
Robin Venu Uthappa,46,42,6,934,86,25.94,0,6,90.59,19,2
Roelof Erasmus van der Merwe,13,7,3,39,12,9.75,0,0,95.12,3,NA
Rohan Sunil Gavaskar,11,10,2,151,54,18.87,0,1,64.52,5,NA
Rohit Gurunath Sharma,148,142,23,5008,264,42.08,10,28,84.6,51,NA
Rudra Pratap Singh,58,20,10,104,23,10.4,0,0,42.97,13,NA
Ryan James Harris,21,13,7,48,21,8,0,0,100,6,NA
Ryan McLaren,54,41,15,485,71,18.65,0,1,71.32,13,NA
Ryan Neil ten Doeschate,33,32,9,1541,119,67,5,9,87.75,13,NA
Sachin Ramesh Tendulkar,463,452,41,18426,200,44.83,49,96,86.23,140,NA
Sahibzada Mohammad Shahid Khan Afridi,393,364,27,8027,124,23.81,6,39,116.94,127,NA
Salman Butt,78,78,4,2725,136,36.82,8,14,76.3,20,NA
Samuel William Billings,5,4,0,90,41,22.5,0,0,132.35,1,NA
Sanath Teran Jayasuriya,441,429,18,13364,189,32.51,28,68,91.27,123,NA
Sanjay Bapusaheb Bangar,15,15,2,180,57,13.84,0,1,75.31,4,NA
Saurabh Sunil Tiwary,3,2,2,49,37,NA,0,0,87.5,2,NA
Scott Bernard Styris,188,161,23,4483,141,32.48,4,28,79.42,73,NA
Scott Michael Boland,6,1,0,2,2,2,0,0,16.66,3,NA
Sean Anthony Abbott,1,1,0,3,3,3,0,0,42.85,0,NA
