Name,Balls,Maidens,Runs,Wickets,Best_Bowling,Average,5_Wicket_Hauls,10_Wicket_Hauls,Strike_Rate,Economy
Stuart Terence Roger Binny,450,12,258,3,2-24,86,0,0,150,3.44
Sunil Bandacharya Joshi,3451,146,1470,41,5-142,35.85,1,0,84.17,2.55
Sunil Philip Narine,1650,60,851,21,6-91,40.52,2,0,78.57,3.09
Suresh Kumar Raina,1041,22,603,13,2-1,46.38,0,0,80.07,3.47
Tatenda Taibu,48,1,27,1,1-27,27,0,0,48,3.37
Tillakaratne Mudiyanselage Dilshan,3385,83,1711,39,4-10,43.87,0,0,86.79,3.03
Timothy Grant Southee,10478,360,5332,166,7-64,32.12,4,1,63.12,3.05
Trent Alexander Boult,8554,306,4285,147,6-40,29.14,5,1,58.19,3
Umar Gul,9599,256,5553,163,6-135,34.06,4,0,58.88,3.47
Umeshkumar Tilak Yadav,2826,74,1911,53,5-93,36.05,1,0,53.32,4.05
Vangipurappu Venkata Sai Laxman,324,12,126,2,1-2,63,0,0,162,2.33
Varun Raymond Aaron,1189,12,947,18,3-97,52.61,0,0,66.05,4.77
Vikram Rajvir Singh,669,20,427,8,3-48,53.37,0,0,83.62,3.82
Virat Kohli,150,2,70,0,0-0,NA,NA,NA,NA,2.8
Virender Sehwag,3731,74,1894,40,5-104,47.35,1,0,93.27,3.04
Warnakulasuriya Patabendige Ushantha Joseph Chaminda Vaas,23438,894,10501,355,7-71,29.58,12,2,66.02,2.68
Wasim Jaffer,66,3,18,2,2-18,9,0,0,33,1.63
Wayne Dillon Parnell,357,7,258,7,2-17,36.85,0,0,51,4.33
Yuvraj Singh,931,14,547,9,2-9,60.77,0,0,103.44,3.52
Zaheer Khan,18785,623,10247,311,7-87,32.94,11,1,60.4,3.27
